"","RespondentID","Algeria","Argentina","Australia","Belgium","Bosnia and Herzegovina","Brazil","Cameroon","Chile","Colombia","Costa Rica","Croatia","Ecuador","England","France","Germany","Ghana","Greece","Honduras","Iran","Italy","Ivory Coast","Japan","Mexico","the Netherlands","Nigeria","Portugal","Russia","South Korea","Spain","Switzerland","United States","Uruguay","China","India","Thailand","Turkey","Cuba","Ethiopia","Vietnam","Ireland","sum_of_threes","Gender","Age","HouseholdIncome","Education","Location"
"13",3308834022,3,3,2,4,4,5,4,4,4,3,2,5,5,4,4,3,5,3,4,4,NA,5,4,4,NA,NA,1,3,4,3,3,3,4,5,5,5,NA,3,NA,NA,30,"Male","18-29","$25,000 - $49,999","High school degree","Middle Atlantic"
"14",3308832927,NA,NA,NA,5,NA,3,NA,NA,NA,NA,NA,NA,2,5,2,NA,2,NA,NA,5,NA,4,3,NA,NA,3,NA,3,5,2,3,NA,4,1,4,NA,NA,NA,3,2,18,"Female","30-44","","Bachelor degree","Middle Atlantic"
"15",3308823251,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,3,4,3,NA,4,NA,NA,4,NA,4,4,NA,NA,NA,2,3,3,3,3,NA,3,4,4,NA,4,4,4,3,27,"Female","30-44","$50,000 - $99,999","Graduate degree","Pacific"
"16",3308819174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,NA,4,5,NA,NA,2,NA,NA,NA,NA,3,NA,NA,3,5,NA,NA,NA,3,NA,12,"Female","30-44","$25,000 - $49,999","Some college or Associate degree","Pacific"
"17",3308816847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4,NA,3,NA,NA,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,4,NA,4,NA,NA,NA,NA,NA,NA,3,9,"Male","30-44","$50,000 - $99,999","Some college or Associate degree","Pacific"
"18",3308816305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"","","","",""
"19",3308815266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,NA,3,NA,NA,5,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,"Male","> 60","$0 - $24,999","Some college or Associate degree","Middle Atlantic"
"20",3308813105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,4,NA,2,NA,NA,NA,NA,3,NA,NA,NA,NA,4,4,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,12,"Male","45-60","","Some college or Associate degree","Mountain"
"21",3308809158,4,3,3,NA,NA,3,NA,NA,1,4,3,NA,4,3,4,NA,4,4,NA,4,NA,5,5,NA,NA,NA,5,NA,4,3,4,NA,5,4,4,4,NA,NA,NA,NA,18,"Male","18-29","$0 - $24,999","Bachelor degree","East North Central"
"22",3308805258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,4,NA,4,NA,NA,5,NA,3,5,NA,NA,NA,2,2,2,NA,4,NA,4,4,5,NA,NA,NA,1,2,6,"Male","18-29","$0 - $24,999","Some college or Associate degree","Mountain"
"23",3308804182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"","","","",""
"24",3308800049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,NA,3,NA,NA,2,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,1,NA,NA,NA,NA,NA,NA,9,"Male","30-44","$25,000 - $49,999","Some college or Associate degree","East South Central"
"25",3308799446,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,NA,NA,1,NA,5,NA,4,4,NA,NA,NA,1,NA,4,NA,3,NA,4,3,5,NA,NA,NA,5,4,6,"Male","18-29","$150,000+","Some college or Associate degree","West North Central"
"26",3308793678,NA,3,NA,NA,NA,3,NA,3,NA,NA,NA,NA,3,3,4,NA,2,NA,NA,5,NA,4,5,NA,1,NA,1,NA,3,3,5,1,5,2,1,NA,NA,NA,1,3,24,"Male","> 60","$100,000 - $149,999","Graduate degree","East North Central"
"27",3308792170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"","","","",""
"28",3308784370,3,3,3,3,4,4,NA,4,3,4,4,4,3,4,3,NA,4,NA,3,3,NA,2,4,4,NA,NA,3,3,3,3,3,NA,2,4,5,NA,4,4,3,3,48,"Male","30-44","$50,000 - $99,999","Some college or Associate degree","Mountain"
"29",3308779771,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,NA,5,NA,NA,5,NA,4,2,3,NA,4,2,NA,4,4,4,NA,3,4,3,NA,NA,NA,3,4,12,"Male","> 60","$50,000 - $99,999","Graduate degree","New England"
"30",3308777531,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,2,3,2,3,2,NA,NA,4,NA,3,4,NA,NA,NA,NA,NA,4,NA,4,NA,2,2,5,NA,3,NA,3,4,18,"Female","30-44","$50,000 - $99,999","Graduate degree","South Atlantic"
"31",3308765568,NA,3,NA,NA,NA,4,NA,4,4,4,NA,3,3,3,5,NA,3,4,NA,5,3,5,5,4,NA,3,NA,4,5,4,4,NA,5,4,4,3,4,NA,3,4,27,"Female","30-44","$25,000 - $49,999","Some college or Associate degree","West South Central"
"32",3308761752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,3,3,3,3,3,3,NA,3,3,3,3,3,3,NA,NA,3,2,3,45,"","","","",""
"33",3308760375,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,3,5,4,NA,3,NA,NA,5,NA,NA,4,NA,NA,NA,NA,NA,3,NA,5,NA,NA,NA,NA,NA,4,NA,4,NA,9,"Male","> 60","$150,000+","Some college or Associate degree","New England"
"34",3308756665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,4,NA,NA,4,NA,4,3,NA,NA,NA,NA,NA,NA,NA,3,NA,3,2,5,NA,NA,NA,4,3,21,"Male","18-29","$25,000 - $49,999","Some college or Associate degree","East North Central"
"35",3308755584,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3,NA,3,3,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,2,NA,NA,NA,NA,NA,NA,15,"Male","30-44","$25,000 - $49,999","High school degree","Pacific"
"36",3308755566,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,3,3,4,NA,3,NA,NA,3,NA,4,4,NA,NA,NA,NA,3,NA,NA,4,NA,4,3,3,NA,4,NA,NA,3,27,"Male","45-60","$25,000 - $49,999","Bachelor degree","East North Central"
"37",3308750909,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,5,NA,NA,NA,NA,4,NA,NA,2,NA,NA,NA,NA,1,NA,NA,5,NA,4,2,NA,NA,NA,NA,NA,3,9,"Female","45-60","$0 - $24,999","Bachelor degree","East North Central"
"38",3308750030,NA,4,4,5,NA,4,3,3,3,4,NA,3,4,5,4,NA,2,NA,3,5,NA,5,5,4,NA,5,1,2,4,4,4,NA,3,3,NA,NA,4,NA,NA,4,21,"Male","18-29","$150,000+","Some college or Associate degree","South Atlantic"
"39",3308749999,NA,NA,3,NA,NA,NA,NA,NA,3,NA,NA,NA,2,1,1,NA,4,NA,NA,4,NA,4,4,NA,NA,3,NA,NA,4,NA,3,NA,5,3,4,NA,3,NA,NA,2,18,"Male","45-60","$50,000 - $99,999","Bachelor degree","Middle Atlantic"
"40",3308749256,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,2,5,3,NA,4,NA,NA,4,NA,4,3,NA,NA,NA,NA,NA,4,NA,3,NA,3,4,3,NA,4,3,3,1,21,"Female","45-60","$150,000+","Some college or Associate degree","Middle Atlantic"
"41",3308747452,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,3,NA,2,5,3,NA,NA,NA,NA,NA,9,"Male","30-44","$100,000 - $149,999","Graduate degree","Pacific"
"42",3308746473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,3,NA,NA,NA,NA,NA,NA,NA,12,"Male","> 60","$0 - $24,999","Some college or Associate degree","Pacific"
"43",3308744587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,4,NA,3,NA,NA,NA,NA,NA,NA,NA,3,"Female","30-44","$50,000 - $99,999","Some college or Associate degree","South Atlantic"
"44",3308742865,5,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,5,NA,5,5,5,NA,4,4,5,5,4,5,4,4,4,4,5,4,5,5,4,0,"Male","> 60","$150,000+","High school degree","South Atlantic"
"45",3308740007,3,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,NA,3,NA,NA,5,NA,4,4,4,2,NA,NA,1,4,4,3,NA,3,2,4,4,3,NA,1,3,18,"Male","18-29","$0 - $24,999","Bachelor degree","West South Central"
"46",3308739057,NA,5,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,3,1,NA,4,NA,NA,5,NA,4,5,NA,NA,NA,NA,NA,3,NA,3,NA,5,2,4,NA,NA,NA,4,4,9,"Female","45-60","","Bachelor degree","West North Central"
"47",3308738718,NA,NA,3,4,1,3,NA,4,NA,5,NA,NA,3,5,3,NA,NA,4,NA,5,NA,4,4,4,NA,4,4,NA,4,3,3,3,4,4,4,3,4,4,4,NA,24,"Female","45-60","","Bachelor degree","South Atlantic"
"48",3308733172,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,3,NA,3,NA,5,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,3,12,"Female","45-60","","Some college or Associate degree","New England"
"49",3308724205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,"Male","45-60","$50,000 - $99,999","Graduate degree","New England"
"50",3308721608,NA,NA,NA,3,NA,NA,NA,NA,3,NA,NA,NA,3,3,1,NA,3,NA,NA,4,NA,3,3,NA,NA,NA,2,NA,4,NA,4,NA,3,3,2,NA,3,NA,2,NA,30,"Female","45-60","","Graduate degree","South Atlantic"
"51",3308720038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,3,4,4,NA,NA,5,NA,2,5,5,NA,NA,NA,NA,5,NA,5,NA,4,NA,NA,NA,NA,NA,NA,NA,3,"Female","18-29","$50,000 - $99,999","Some college or Associate degree","East North Central"
"52",3308719922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,NA,5,NA,NA,5,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,5,NA,4,NA,3,3,NA,NA,3,NA,18,"Male","45-60","$50,000 - $99,999","High school degree","New England"
"53",3308719451,NA,3,3,3,NA,4,NA,NA,3,NA,NA,NA,NA,3,2,NA,5,NA,NA,5,NA,5,5,NA,NA,4,3,4,5,3,3,NA,4,5,5,NA,4,5,4,3,27,"Male","45-60","$25,000 - $49,999","Bachelor degree","Mountain"
"54",3308718419,NA,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,NA,4,NA,NA,5,NA,5,5,NA,NA,NA,NA,4,4,NA,3,NA,4,4,4,NA,NA,NA,4,2,9,"Female","18-29","","Bachelor degree","South Atlantic"
"55",3308718351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,5,3,"Female","45-60","$0 - $24,999","Some college or Associate degree","Mountain"
"56",3308717519,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,3,4,2,NA,NA,NA,4,3,NA,3,5,NA,NA,NA,NA,NA,NA,NA,3,NA,3,4,3,NA,NA,4,NA,NA,21,"Female","18-29","$50,000 - $99,999","Some college or Associate degree","East South Central"
"57",3308716587,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,3,NA,5,3,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,4,NA,2,5,NA,NA,NA,NA,NA,NA,12,"Female","18-29","","Some college or Associate degree","Pacific"
"58",3308716054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,3,NA,NA,3,NA,4,NA,4,2,4,NA,NA,NA,NA,3,NA,3,NA,4,1,2,NA,3,NA,NA,3,21,"Female","18-29","$150,000+","Bachelor degree","East North Central"
"59",3308715976,NA,NA,3,NA,NA,NA,NA,4,NA,4,NA,4,3,3,3,3,4,3,NA,4,NA,3,4,NA,NA,NA,3,NA,4,NA,2,NA,3,5,5,3,3,3,NA,3,39,"Female","18-29","$25,000 - $49,999","Bachelor degree","New England"
"60",3308715946,NA,NA,NA,NA,NA,4,NA,NA,NA,3,NA,NA,3,4,3,NA,3,NA,NA,4,NA,5,4,NA,NA,NA,NA,NA,4,NA,5,NA,4,3,3,NA,NA,NA,NA,3,21,"Female","30-44","$50,000 - $99,999","Some college or Associate degree","South Atlantic"
"61",3308715331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,5,NA,3,5,NA,NA,NA,NA,NA,4,NA,4,NA,4,NA,NA,NA,NA,NA,NA,4,3,"Female","18-29","$25,000 - $49,999","Some college or Associate degree","Mountain"
"62",3308715206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"","","","",""
"63",3308712364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,3,NA,4,NA,NA,5,NA,5,4,NA,NA,NA,3,4,4,NA,4,NA,5,3,4,NA,4,NA,4,4,9,"Male","> 60","$100,000 - $149,999","Graduate degree","South Atlantic"
"64",3308710220,NA,NA,NA,4,NA,4,NA,3,NA,3,NA,3,3,4,4,NA,4,NA,NA,5,NA,4,3,NA,NA,NA,NA,NA,NA,4,4,NA,4,3,3,NA,NA,NA,NA,3,24,"Female","18-29","$50,000 - $99,999","Some college or Associate degree","West North Central"
"65",3308708004,NA,3,4,NA,NA,3,NA,3,3,3,4,NA,3,3,4,NA,4,NA,2,4,3,4,4,4,NA,3,3,3,3,NA,5,NA,3,4,3,3,3,NA,3,4,51,"Male","45-60","","High school degree","Middle Atlantic"
"66",3308705135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,3,NA,NA,4,NA,NA,4,NA,NA,3,NA,NA,3,NA,4,NA,4,1,1,NA,NA,NA,NA,3,21,"Female","30-44","$50,000 - $99,999","Some college or Associate degree","East North Central"
"67",3308702964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,5,NA,3,4,NA,NA,NA,NA,NA,NA,NA,5,NA,4,1,NA,NA,NA,NA,NA,NA,9,"Male","45-60","$50,000 - $99,999","Some college or Associate degree","East North Central"
"68",3308702870,NA,2,NA,NA,NA,3,NA,3,NA,3,NA,NA,NA,3,3,NA,3,NA,NA,3,NA,4,5,NA,NA,NA,NA,NA,4,NA,3,3,5,4,5,3,NA,NA,3,NA,33,"Male","18-29","$25,000 - $49,999","High school degree","Pacific"
"69",3308702323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,4,NA,NA,NA,NA,NA,NA,NA,4,5,NA,NA,NA,NA,4,NA,5,NA,NA,4,NA,NA,NA,NA,3,NA,6,"Female","45-60","$0 - $24,999","Some college or Associate degree","Mountain"
"70",3308702075,3,4,4,3,NA,4,NA,4,NA,5,NA,3,3,4,4,NA,5,3,3,5,NA,3,5,NA,NA,3,4,NA,3,3,3,NA,3,5,3,4,4,4,NA,3,42,"Female","45-60","","Bachelor degree","East North Central"
"71",3308698389,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,3,NA,NA,4,NA,2,2,NA,NA,NA,NA,NA,NA,3,1,NA,3,1,3,NA,NA,NA,NA,4,27,"Male","45-60","$150,000+","Graduate degree","East North Central"
"72",3308697922,NA,4,3,3,NA,4,NA,4,4,4,NA,4,2,3,3,NA,3,4,4,4,3,5,5,3,NA,3,3,4,4,3,4,NA,5,4,5,3,4,3,5,4,36,"Male","45-60","$50,000 - $99,999","Some college or Associate degree","Mountain"
"73",3308697837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3,NA,4,NA,NA,4,NA,3,5,NA,NA,3,3,NA,3,NA,5,NA,5,2,2,NA,NA,NA,NA,4,15,"Female","45-60","$50,000 - $99,999","Some college or Associate degree","East North Central"
"74",3308697765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"","","","",""
"75",3308696221,NA,NA,1,NA,3,NA,NA,NA,3,NA,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,3,NA,NA,NA,18,"Female","18-29","","","South Atlantic"
"76",3308696186,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,NA,NA,4,NA,NA,5,NA,NA,4,NA,NA,NA,NA,NA,4,NA,4,NA,NA,NA,NA,5,NA,NA,NA,4,0,"Female","18-29","$50,000 - $99,999","Bachelor degree","West South Central"
"77",3308694655,NA,NA,3,2,2,NA,NA,2,3,NA,NA,NA,4,3,5,NA,4,4,4,4,NA,4,5,NA,NA,NA,4,NA,3,3,4,NA,4,5,5,NA,3,NA,NA,3,21,"Male","18-29","$0 - $24,999","High school degree","South Atlantic"
"78",3308693743,3,3,2,3,NA,3,NA,3,3,3,NA,3,3,4,3,3,4,NA,4,5,NA,2,5,3,NA,3,3,NA,3,3,4,3,2,5,5,5,4,5,4,3,54,"Female","30-44","$50,000 - $99,999","Bachelor degree","Middle Atlantic"
"79",3308693243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,3,NA,NA,NA,NA,4,NA,3,1,NA,NA,NA,NA,NA,NA,NA,5,NA,3,2,NA,NA,3,NA,NA,NA,12,"Male","45-60","","Bachelor degree","South Atlantic"
"80",3308691887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4,NA,4,NA,NA,5,NA,3,4,NA,NA,NA,NA,NA,4,NA,4,NA,4,4,NA,NA,NA,NA,NA,3,9,"Male","30-44","$100,000 - $149,999","Bachelor degree","East North Central"
"81",3308691132,3,3,3,2,NA,3,NA,3,3,3,3,3,3,5,3,3,3,3,2,5,NA,5,5,NA,3,3,3,5,5,3,5,3,5,4,5,3,5,NA,2,3,63,"Male","18-29","$50,000 - $99,999","Bachelor degree",""
"82",3308690549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,3,NA,NA,4,3,3,5,3,NA,NA,3,NA,3,3,4,NA,3,3,3,NA,3,NA,NA,3,45,"Female","45-60","","Some college or Associate degree","East North Central"
"83",3308690171,NA,5,3,NA,NA,5,NA,3,5,4,4,3,3,4,3,NA,4,NA,NA,5,NA,5,4,NA,NA,3,3,3,5,NA,5,NA,5,3,4,NA,5,NA,3,4,30,"Female","45-60","$150,000+","Bachelor degree","Middle Atlantic"
"84",3308689431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"","","","",""
"85",3308689374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,NA,2,NA,NA,5,NA,3,5,NA,NA,NA,NA,NA,4,NA,2,NA,3,NA,NA,NA,3,NA,NA,2,12,"Male","30-44","$50,000 - $99,999","Graduate degree","East North Central"
"86",3308689072,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,3,NA,NA,3,NA,3,3,NA,NA,NA,NA,3,NA,NA,5,NA,3,3,3,NA,3,NA,NA,NA,33,"Male","> 60","$25,000 - $49,999","Some college or Associate degree","South Atlantic"
"87",3308687767,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,3,NA,4,NA,3,5,NA,4,5,NA,NA,NA,3,4,4,NA,2,NA,4,5,5,NA,4,4,NA,3,15,"Female","30-44","$150,000+","Bachelor degree","South Atlantic"
"88",3308687706,NA,NA,NA,5,4,NA,NA,NA,NA,NA,4,NA,2,3,5,NA,4,NA,NA,5,NA,5,3,4,NA,NA,3,2,3,4,3,NA,5,5,4,3,NA,4,5,3,21,"Male","> 60","$100,000 - $149,999","Graduate degree","Pacific"
"89",3308686878,2,2,4,3,2,4,2,1,2,3,3,2,5,4,3,4,4,1,1,5,2,4,2,4,3,2,4,3,2,4,5,3,2,2,4,3,1,2,2,3,27,"Male","45-60","$50,000 - $99,999","Bachelor degree","South Atlantic"
"90",3308684357,NA,2,2,NA,NA,3,NA,NA,NA,NA,NA,NA,3,5,3,NA,4,NA,NA,4,NA,2,5,NA,NA,4,4,3,4,4,5,NA,4,1,3,NA,3,NA,NA,3,21,"Male","> 60","$150,000+","Graduate degree","West South Central"
"91",3308683714,NA,3,3,3,NA,3,3,3,3,3,NA,3,3,4,4,NA,4,3,2,4,3,4,4,NA,NA,3,3,3,4,3,4,NA,4,3,3,3,3,NA,NA,3,63,"Female","30-44","$50,000 - $99,999","Some college or Associate degree","East North Central"
"92",3308682260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,5,NA,3,NA,NA,4,NA,3,3,NA,NA,3,NA,NA,3,NA,4,NA,3,3,NA,NA,3,NA,NA,4,24,"Female","45-60","$100,000 - $149,999","Some college or Associate degree","South Atlantic"
"93",3308681795,NA,4,NA,3,NA,3,NA,3,3,3,NA,3,3,4,3,NA,4,3,NA,NA,NA,3,4,NA,NA,4,3,3,5,4,3,3,2,3,4,3,4,4,3,3,54,"Female","30-44","$50,000 - $99,999","Graduate degree","Middle Atlantic"
"94",3308681074,NA,NA,3,NA,NA,NA,NA,NA,NA,3,NA,NA,2,3,3,NA,NA,NA,NA,3,NA,3,4,3,NA,NA,NA,3,3,3,3,NA,4,1,3,NA,3,NA,3,4,42,"Male","> 60","","Bachelor degree","West South Central"
