"c.......Pair...Player.Name..Total.Round.Round.Round.Round.Round.Round.Round..Num..USCF.ID...Rtg..Pre..Post...Pts..1.2.3.4.5.6.7....."
""
" Pair | Player Name |Total|Round|Round|Round|Round|Round|Round|Round| Num| USCF ID / Rtg (Pre->Post)| Pts |1|2|3|4|5|6|7| "
" 24 | MICHAEL R ALDRICH|4.0|L28|L47|W43|L25|W60|W44|W39| MI | 13469010 / R: 1229->1300|N:4|B|W|B|B|W|W|B| "
" 25 | LOREN SCHWIEBERT|3.5|L9|W53|L3|W24|D34|L10|W47| MI | 12486656 / R: 1745->1681|N:4|B|W|B|W|B|W|B| "
" 26 | MAX ZHU|3.5|W49|W40|W17|L4|L9|D32|L11| ON | 15131520 / R: 1579->1564|N:4|B|W|B|W|B|W|W| "
" 27 | GAURAV GIDWANI|3.5|W51|L13|W46|W37|D14|L6|U| MI | 14476567 / R: 1552->1539|N:4|W|B|W|B|W|B|| "
" 28 | SOFIA ADINA STANESCU-BELLU|3.5|W24|D4|W22|D19|L20|L8|D36| MI | 14882954 / R: 1507->1513|N:3|W|W|B|W|B|B|W| "
" 29 | CHIEDOZIE OKORIE|3.5|W50|D6|L38|L34|W52|W48|U| MI | 15323285 / R: 1602P6 ->1508P12|N:4|B|W|B|W|W|B|| "
" 30 | GEORGE AVERY JONES|3.5|L52|D64|L15|W55|L31|W61|W50| ON | 12577178 / R: 1522->1444||W|B|B|W|W|B|B| "
" 31 | RISHI SHETTY|3.5|L58|D55|W64|L10|W30|W50|L14| MI | 15131618 / R: 1494->1444||B|W|B|W|B|W|B| "
" 32 | JOSHUA PHILIP MATHEWS|3.5|W61|L8|W44|L18|W51|D26|L13| ON | 14073750 / R: 1441->1433|N:4|W|B|W|B|W|B|W| "
" 33 | JADE GE|3.5|W60|L12|W50|D36|L13|L15|W51| MI | 14691842 / R: 1449->1421||B|W|B|W|B|W|B| "
" 34 | MICHAEL JEFFERY THOMAS|3.5|L6|W60|L37|W29|D25|L11|W52| MI | 15051807 / R: 1399->1400||B|W|B|B|W|B|W| "
" 35 | JOSHUA DAVID LEE|3.5|L46|L38|W56|L6|W57|D52|W48| MI | 14601397 / R: 1438->1392||W|W|B|W|B|B|W| "
" 36 | SIDDHARTH JHA|3.5|L13|W57|W51|D33|H|L16|D28| MI | 14773163 / R: 1355->1367|N:4|W|B|W|B||W|B| "
" 37 | AMIYATOSH PWNANANDAM|3.5|B|L5|W34|L27|H|L23|W61| MI | 15489571 / R:980P12->1077P17|||B|W|W||B|W| "
" 38 | BRIAN LIU|3.0|D11|W35|W29|L12|H|L18|L15| MI | 15108523 / R: 1423->1439|N:4|W|B|W|W||B|B| "
" 39 | JOEL R HENDON|3.0|L1|W54|W40|L16|W44|L21|L24| MI | 12923035 / R: 1436P23->1413|N:4|B|W|B|W|B|W|W| "
" 40 | FOREST ZHANG|3.0|W20|L26|L39|W59|L21|W56|L22| MI | 14892710 / R: 1348->1346||B|B|W|W|B|W|W| "
" 41 | KYLE WILLIAM MURPHY|3.0|W59|L17|W58|L20|X|U|U| MI | 15761443 / R: 1403P5 ->1341P9||B|W|B|W|||| "
" 42 | JARED GE|3.0|L12|L50|L57|D60|D61|W64|W56| MI | 14462326 / R: 1332->1256||B|W|B|B|W|W|B| "
" 43 | ROBERT GLEN VASEY|3.0|L21|L23|L24|W63|W59|L46|W55| MI | 14101068 / R: 1283->1244||W|B|W|W|B|B|W| "
" 44 | JUSTIN D SCHILLING|3.0|B|L14|L32|W53|L39|L24|W59| MI | 15323504 / R: 1199->1199|||W|B|B|W|B|W| "
" 45 | DEREK YAN|3.0|L5|L51|D60|L56|W63|D55|W58| MI | 15372807 / R: 1242->1191||W|B|W|B|W|B|W| "
" 46 | JACOB ALEXANDER LAVALLEY|3.0|W35|L7|L27|L50|W64|W43|L23| MI | 15490981 / R:377P3 ->1076P10||B|W|B|W|B|W|W| "
" 47 | ERIC WRIGHT |2.5|L18|W24|L21|W61|L8|D51|L25| MI | 12533115 / R: 1362->1341||W|B|W|B|W|B|W| "
" 48 | DANIEL KHAIN|2.5|L17|W63|H|D52|H|L29|L35| MI | 14369165 / R: 1382->1335||B|W||B||W|B| "
" 49 | MICHAEL J MARTIN|2.5|L26|L20|D63|D64|W58|H|U| MI | 12531685 / R: 1291P12->1259P17||W|W|B|W|B||| "
" 50 | SHIVAM JHA|2.5|L29|W42|L33|W46|H|L31|L30| MI | 14773178 / R: 1056->1111||W|B|W|B||B|W| "
" 51 | TEJAS AYYAGARI|2.5|L27|W45|L36|W57|L32|D47|L33| MI | 15205474 / R: 1011->1097||B|W|B|W|B|W|W| "
" 52 | ETHAN GUO|2.5|W30|D22|L19|D48|L29|D35|L34| MI | 14918803 / R:935->1092|N:4|B|W|B|W|B|W|B| "
" 53 | JOSE C YBARRA|2.0|H|L25|H|L44|U|W57|U| MI | 12578849 / R: 1393->1359|||B||W||W|| "
" 54 | LARRY HODGE |2.0|L14|L39|L61|B|L15|L59|W64| MI | 12836773 / R: 1270->1200||B|B|W||W|B|W| "
" 55 | ALEX KONG|2.0|L62|D31|L10|L30|B|D45|L43| MI | 15412571 / R: 1186->1163||W|B|W|B||W|B| "
" 56 | MARISA RICCI|2.0|H|L11|L35|W45|H|L40|L42| MI | 14679887 / R: 1153->1140|||B|W|W||B|W| "
" 57 | MICHAEL LU|2.0|L7|L36|W42|L51|L35|L53|B| MI | 15113330 / R: 1092->1079||B|W|W|B|W|B|| "
" 58 | VIRAJ MOHILE|2.0|W31|L2|L41|L23|L49|B|L45| MI | 14700365 / R:917-> 941||W|B|W|B|W||B| "
" 59 | SEAN M MC CORMICK|2.0|L41|B|L9|L40|L43|W54|L44| MI | 12841036 / R:853-> 878||W||B|B|W|W|B| "
" 60 | JULIA SHEN|1.5|L33|L34|D45|D42|L24|H|U| MI | 14579262 / R:967-> 984||W|B|B|W|B||| "
" 61 | JEZZEL FARKAS|1.5|L32|L3|W54|L47|D42|L30|L37| ON | 15771592 / R:955P11-> 979P18||B|W|B|W|B|W|B| "
" 62 | ASHWIN BALAJI|1.0|W55|U|U|U|U|U|U| MI | 15219542 / R: 1530->1535||B||||||| "
" 63 | THOMAS JOSEPH HOSMER|1.0|L2|L48|D49|L43|L45|H|U| MI | 15057092 / R: 1175->1125||W|B|W|B|B||| "
" 64 | BEN LI|1.0|L22|D30|L31|D49|L46|L42|L54| MI | 15006561 / R: 1163->1112||B|W|W|B|W|B|B| "
